ref	query	chrom	ref_start	ref_end	source	block_no	ref_assembly	block_size	ref_chrom	bin_size_mbp
jagger	lancer	chr1A	35000000	485000000	nucmer	1	jagger	450000000	chr1A__jag	5
jagger	mace	chr1A	50000000	495000000	nucmer	2	jagger	445000000	chr1A__jag	5
lancer	jagger	chr1A	40000000	485000000	nucmer	1	lancer	445000000	chr1A__lac	5
mace	jagger	chr1A	50000000	495000000	nucmer	2	mace	445000000	chr1A__mac	5
lancer	mace	chr1A	50000000	485000000	nucmer	3	lancer	435000000	chr1A__lac	5
lancer	robigus	chr1A	35000000	465000000	nucmer	4	lancer	430000000	chr1A__lac	5
mace	claire	chr1A	35000000	465000000	nucmer	5	mace	430000000	chr1A__mac	5
mace	robigus	chr1A	35000000	465000000	nucmer	6	mace	430000000	chr1A__mac	5
jagger	claire	chr1A	50000000	465000000	nucmer	7	jagger	415000000	chr1A__jag	5
jagger	robigus	chr1A	50000000	465000000	nucmer	8	jagger	415000000	chr1A__jag	5
lancer	claire	chr1A	55000000	465000000	nucmer	9	lancer	410000000	chr1A__lac	5
jagger	weebil	chr1A	50000000	445000000	nucmer	10	jagger	395000000	chr1A__jag	5
lancer	weebil	chr1A	55000000	445000000	nucmer	11	lancer	390000000	chr1A__lac	5
lancer	stanley	chr1A	10000000	390000000	nucmer	12	lancer	380000000	chr1A__lac	5
stanley	claire	chr1A	5000000	385000000	nucmer	13	stanley	380000000	chr1A__sta	5
stanley	robigus	chr1A	30000000	385000000	nucmer	14	stanley	355000000	chr1A__sta	5
stanley	weebil	chr1A	40000000	385000000	nucmer	15	stanley	345000000	chr1A__sta	5
jagger	stanley	chr1A	50000000	390000000	nucmer	16	jagger	340000000	chr1A__jag	5
mace	weebil	chr1A	180000000	445000000	nucmer	17	mace	265000000	chr1A__mac	5
mace	lancer	chr1A	220000000	480000000	nucmer	3	mace	260000000	chr1A__mac	5
mattis	paragon	chr1A	50000000	265000000	nucmer	18	mattis	215000000	chr1A__sym	5
stanley	mace	chr1A	30000000	205000000	nucmer	19	stanley	175000000	chr1A__sta	5
mace	stanley	chr1A	35000000	205000000	nucmer	19	mace	170000000	chr1A__mac	5
stanley	jagger	chr1A	220000000	390000000	nucmer	16	stanley	170000000	chr1A__sta	5
stanley	lancer	chr1A	220000000	390000000	nucmer	12	stanley	170000000	chr1A__sta	5
stanley	mace	chr1A	220000000	390000000	nucmer	20	stanley	170000000	chr1A__sta	5
mace	stanley	chr1A	220000000	385000000	nucmer	20	mace	165000000	chr1A__mac	5
stanley	jagger	chr1A	45000000	205000000	nucmer	16	stanley	160000000	chr1A__sta	5
stanley	lancer	chr1A	45000000	205000000	nucmer	12	stanley	160000000	chr1A__sta	5
mace	lancer	chr1A	50000000	205000000	nucmer	3	mace	155000000	chr1A__mac	5
julius	cadenza	chr1A	290000000	430000000	nucmer	21	julius	140000000	chr1A__jul	5
mace	weebil	chr1A	50000000	165000000	nucmer	22	mace	115000000	chr1A__mac	5
julius	claire	chr1A	460000000	535000000	nucmer	23	julius	75000000	chr1A__jul	5
julius	robigus	chr1A	460000000	535000000	nucmer	24	julius	75000000	chr1A__jul	5
julius	mattis	chr1A	430000000	505000000	nucmer	25	julius	75000000	chr1A__jul	5
landmark	claire	chr1A	395000000	470000000	nucmer	26	landmark	75000000	chr1A__ldm	5
landmark	robigus	chr1A	395000000	470000000	nucmer	27	landmark	75000000	chr1A__ldm	5
mattis	julius	chr1A	440000000	515000000	nucmer	25	mattis	75000000	chr1A__sym	5
landmark	jagger	chr1A	395000000	460000000	nucmer	28	landmark	65000000	chr1A__ldm	5
jagger	landmark	chr1A	400000000	460000000	nucmer	28	jagger	60000000	chr1A__jag	5
stanley	mattis	chr1A	465000000	525000000	nucmer	29	stanley	60000000	chr1A__sta	5
mattis	stanley	chr1A	465000000	525000000	nucmer	29	mattis	60000000	chr1A__sym	5
landmark	weebil	chr1A	390000000	445000000	nucmer	30	landmark	55000000	chr1A__ldm	5
arina	robigus	chr1A	520000000	570000000	nucmer	31	arina	50000000	chr1A__ari	5
jagger	lancer	chr1A	525000000	575000000	nucmer	32	jagger	50000000	chr1A__jag	5
jagger	stanley	chr1A	525000000	575000000	nucmer	33	jagger	50000000	chr1A__jag	5
julius	paragon	chr1A	0	50000000	nucmer	34	julius	50000000	chr1A__jul	5
stanley	jagger	chr1A	525000000	575000000	nucmer	33	stanley	50000000	chr1A__sta	5
arina	claire	chr1A	520000000	565000000	nucmer	35	arina	45000000	chr1A__ari	5
jagger	cadenza	chr1A	325000000	370000000	nucmer	36	jagger	45000000	chr1A__jag	5
jagger	cadenza	chr1A	390000000	435000000	nucmer	37	jagger	45000000	chr1A__jag	5
julius	cadenza	chr1A	15000000	60000000	nucmer	38	julius	45000000	chr1A__jul	5
julius	robigus	chr1A	385000000	430000000	nucmer	39	julius	45000000	chr1A__jul	5
julius	stanley	chr1A	455000000	500000000	nucmer	40	julius	45000000	chr1A__jul	5
stanley	julius	chr1A	460000000	505000000	nucmer	40	stanley	45000000	chr1A__sta	5
stanley	lancer	chr1A	505000000	550000000	nucmer	41	stanley	45000000	chr1A__sta	5
mattis	claire	chr1A	470000000	515000000	nucmer	42	mattis	45000000	chr1A__sym	5
mattis	robigus	chr1A	470000000	515000000	nucmer	43	mattis	45000000	chr1A__sym	5
julius	claire	chr1A	390000000	430000000	nucmer	44	julius	40000000	chr1A__jul	5
landmark	cadenza	chr1A	400000000	440000000	nucmer	45	landmark	40000000	chr1A__ldm	5
stanley	robigus	chr1A	465000000	505000000	nucmer	46	stanley	40000000	chr1A__sta	5
lancer	jagger	chr1A	545000000	580000000	nucmer	32	lancer	35000000	chr1A__lac	5
landmark	mace	chr1A	425000000	460000000	nucmer	47	landmark	35000000	chr1A__ldm	5
mace	landmark	chr1A	425000000	460000000	nucmer	47	mace	35000000	chr1A__mac	5
stanley	cadenza	chr1A	325000000	360000000	nucmer	48	stanley	35000000	chr1A__sta	5
stanley	claire	chr1A	470000000	505000000	nucmer	49	stanley	35000000	chr1A__sta	5
mattis	arina	chr1A	10000000	45000000	nucmer	50	mattis	35000000	chr1A__sym	5
arina	cadenza	chr1A	50000000	80000000	nucmer	51	arina	30000000	chr1A__ari	5
lancer	cadenza	chr1A	325000000	355000000	nucmer	52	lancer	30000000	chr1A__lac	5
landmark	stanley	chr1A	515000000	545000000	nucmer	53	landmark	30000000	chr1A__ldm	5
stanley	landmark	chr1A	515000000	545000000	nucmer	53	stanley	30000000	chr1A__sta	5
mattis	paragon	chr1A	475000000	505000000	nucmer	54	mattis	30000000	chr1A__sym	5
arina	julius	chr1A	520000000	545000000	nucmer	55	arina	25000000	chr1A__ari	5
julius	arina	chr1A	510000000	535000000	nucmer	55	julius	25000000	chr1A__jul	5
julius	paragon	chr1A	470000000	495000000	nucmer	56	julius	25000000	chr1A__jul	5
julius	robigus	chr1A	330000000	355000000	nucmer	57	julius	25000000	chr1A__jul	5
lancer	landmark	chr1A	435000000	460000000	nucmer	58	lancer	25000000	chr1A__lac	5
lancer	stanley	chr1A	505000000	530000000	nucmer	41	lancer	25000000	chr1A__lac	5
